fecha_corte;entidad;provincia;canton;segmento;por_vencer;no_devenga_intereses;vencida;total_saldo;archivo_origen
2026-01-31;BANCO ATLÁNTIDA S.A.;LOS RIOS;QUEVEDO;CONSUMO;14139.67;0.0;0.0;14139.67;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BANCO ATLÁNTIDA S.A.;MANABI;MANTA;CONSUMO;131010.6;0.0;0.0;131010.6;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BANCO ATLÁNTIDA S.A.;MANABI;PORTOVIEJO;CONSUMO;250171.46;0.0;0.0;250171.46;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BANCO ATLÁNTIDA S.A.;PICHINCHA;QUITO;CONSUMO;410129.8;6040.42;142.5;416312.72;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BANCO ATLÁNTIDA S.A.;SANTA ELENA;LA LIBERTAD;CONSUMO;118667.37;0.0;0.0;118667.37;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP AMAZONAS;AZUAY;CUENCA;CONSUMO;67112947.4;2483677.54;1566168.38;71162793.32;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP AMAZONAS;GUAYAS;GUAYAQUIL;CONSUMO;37735201.34;2626972.06;702827.09;41065000.49;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP AMAZONAS;PICHINCHA;QUITO;CONSUMO;6588226.66;600925.02;199277.35;7388429.03;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP AUSTRO;AZUAY;CUENCA;CONSUMO;120883048.47;3952223.38;1609372.93;126444644.78;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP AUSTRO;AZUAY;GIRON;CONSUMO;18262882.77;152156.53;69721.43;18484760.73;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP AUSTRO;AZUAY;GUALACEO;CONSUMO;3213904.97;117841.46;23837.04;3355583.47;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP AUSTRO;AZUAY;PAUTE;CONSUMO;2259066.37;32859.09;5107.57;2297033.03;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP AUSTRO;AZUAY;SANTA ISABEL;CONSUMO;2788222.76;43068.4;12198.93;2843490.09;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP AUSTRO;AZUAY;SIGSIG;CONSUMO;1749310.3;33242.5;3485.89;1786038.69;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP AUSTRO;CAÑAR;AZOGUES;CONSUMO;7003376.48;383316.04;64216.82;7450909.34;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP AUSTRO;CAÑAR;BIBLIAN;CONSUMO;2034334.95;84571.4;5201.21;2124107.56;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
